Bikarmót II 2013/2014;junior;AB;59-63kg;karlar;Sverrir Örvar Elefsen ; Keflavík;3;1
Bikarmót II 2013/2014;junior;AB;63-68kg;konur;Hrafnhildur Rafnsdóttir ; Björk;3;1
Bikarmót II 2013/2014;veteran;AB;87-98kg;karlar;Birgir Viðar Svansson ; Einherjar;3;1
Bikarmót II 2013/2014;senior;A;74-80kg;karlar;Ástþór Arnar Bragason ; Ármann;3;1
Bikarmót III 2013/2014;Veteran;B;+80kg;Konur;Herdís Þórðardóttir ; Afturelding;1;7
Bikarmót III 2013/2014;Veteran;C;73-80kg;Konur;Birgitta Sigurðardóttir ; Grindavík;1;7
Bikarmót III 2013/2014;Junior;AB;63-68kg;Konur;Dagný María Pétursdóttir;Selfoss;1;7
Bikarmót III 2013/2014;Veteran;BC;74-80kg;Karlar;Ágúst Örn Guðmundsson ; Afturelding;1;7
Bikarmót III 2013/2014;Veteran;B;53-57kg;Konur;María Bragadóttir ; Afturelding;1;7
Bikarmót III 2013/2014;Junior;AB;52-55kg;konur;Ástrós Brynjarsdóttir ; Keflavík;1;7
Bikarmót III 2013/2014;Junior;AB;63-68kg;karlar;Ólafur Þorsteinn Skúlason ; Keflavík;1;7
Bikarmót III 2013/2014;Junior;AB;59-63kg;karlar;Karel Bergmann Gunnarsson ; Keflavík;1;7
Bikarmót III 2013/2014;Senior;B;67-73kg;konur;Kristín Sesselja Róbertsdóttir ; Einherjar;1;7
Bikarmót III 2013/2014;Senior;C;62-67kg;Konur;Ana Geppert ; Ármann;1;7
Bikarmót III 2013/2014;Senior;BC;+87kg;karlar;Jóhann Jimma ; Ármann;1;7
Bikarmót III 2013/2014;Senior;C;80-87kg;karlar;Sölvi ; Selfoss;1;7
Bikarmót III 2013/2014;Senior;AB;63-68kg;karlar;Jón Steinar Brynjarsson ; Keflavík;1;7
Bikarmót III 2013/2014;Senior;A;68-74kg;karlar;Kristmundur Gíslason ; Keflavík;1;7
Bikarmót III 2013/2014;Senior;A;67-73kgkg;konur;Antje Muller ; Ármann;1;7
